100@28,98@7,78009@21,8@9,2901
110@31,76@2,50294@24,18@5,69045
120@36,74@1,75978@21,5@9,99354
132@41,6@3,98292@22,34@12,505
145@54,24@4,65878@23,36@18,7223
159@70,18@5,36432@24,06@26,4133
175@105,42@16,9372@29,34@44,0526
192@171,38@2,08888@26,82@73,8
210@174,78@3,38384@31,58@69,9563
231@180,28@2,85287@32,5@68,8126
254@182,86@3,02094@36,58@64,9715
278@187,32@2,30957@41,7@61,7998
305@190,92@2,18766@55,2@54,995
335@195,66@2,66387@58,68@52,987
368@201,94@3,64856@83,66@43,751
404@206,08@1,90081@86,02@42,2797
443@211,16@1,91862@90,98@40,4208
486@219,14@1,66544@96,7@39,3079
534@224,64@1,66565@102,66@37,3624
586@231,2@1,5357@109,9@35,4654
643@237,82@1,08959@115,08@34,2441
705@242,5@1,08667@120,1@32,6147
774@248,42@1,23587@125,88@31,1698
850@253,42@0,729367@129,88@29,9717
933@257,92@0,603385@133,08@28,9063
1024@260,2@0,676041@136,34@27,3778
1123@265,28@0,580232@139,58@26,5298
1233@269,58@0,488456@142,46@25,6033
1353@274,36@0,473636@144,56@24,9568
1485@278,54@0,445267@149,42@23,6969
1630@282,42@0,307553@151,38@22,9527
1789@286,76@0,312869@154,74@22,0731
1963@292,18@0,318699@158,04@21,4107
2154@296,74@0,352482@160,12@20,818
2364@301,32@0,224249@162,36@20,2105
2595@304,2@0,266281@165,68@19,2296
2848@313,74@0,24115@175,1@18,3713
3126@319,04@0,282752@178,04@17,8346
3430@323,96@0,296687@181,4@17,2147
3765@327,18@0,19785@185,22@16,3606
4132@332,72@0,30804@187,64@15,9622
4535@339,64@0,244688@191,4@15,5674
4977@345,32@0,163398@195,52@15,0155
5462@349,86@0,148235@198,74@14,4595
5995@355,14@0,190701@202,32@13,9576
6579@350,44@0,128314@201,08@13,0215
7221@356,84@0,159072@204,42@12,6842
7925@362,36@0,10017@208,72@12,2041
8697@369,5@0,413426@213,7@11,8204
9545@378,18@0,109945@218,58@11,5518
10476@383,9@0,0989155@222,62@11,1426
11498@391,02@0,116845@226,88@10,8246
12619@404,68@0,132302@232,76@10,8226
13849@410,32@0,105067@237,82@10,3654
15199@415,58@0,0761689@243,46@9,87238
16681@413,84@0,068696@250,58@8,93854
18307@418,3@0,083126@253,08@8,63494
20092@422,52@0,0530195@257,34@8,24024
22051@432,76@0,0716235@265,62@7,95919
24201@439,38@0,0917623@269,22@7,73493
26561@442,58@0,0582684@275,8@7,23637
29151@449,28@0,0468851@280,54@6,98853
31993@461,06@0,047049@286,84@6,88756
35112@460,02@0,0818065@287,28@6,51905
38535@470,88@0,0405234@298,12@6,22314
42292@474,54@0,0608159@298,66@6,04776
46416@480,86@0,0765538@304,22@5,798
50941@487,98@0,0643557@307,26@5,6622
55908@489,52@0,040229@312,78@5,28561
61359@501,62@0,0373899@318,98@5,21378
67342@512,84@0,0367036@319@5,28197
73907@521,68@0,0346784@329,22@5,00603
81113@521,26@0,0343344@335,72@4,60669
89022@527,68@0,0417108@343,68@4,36088
97701@533,1@0,0231809@352,74@4,08021
107227@552,34@0,0319153@352,98@4,3051
117681@554,46@0,0233968@358,36@4,04219
129155@568,88@0,0344498@363,22@4,04664
141747@593,18@0,146191@370,92@4,17691
155568@603,74@0,0281893@382,16@3,97252
170735@613,96@0,0952782@393,12@3,78041
187382@659,58@0,0424825@404,26@4,17089
205651@671,44@0,037702@417,96@3,9526
225702@705,2@0,0966882@438,42@3,97191
247708@733,62@0,0724935@454,86@3,96112
271859@766,76@0,0444492@466,76@4,06874
298365@811,46@0,0984933@491,26@4,14624
327455@839,6@0,0664061@521,02@3,93722
359381@878,56@0,0728317@535,8@4,0436
394421@904,88@0,0718696@567,4@3,80041
432876@935,68@0,0196345@600,54@3,60194
475081@974,24@0,0350344@633,24@3,49846
521401@1002,1@0,0402928@661,54@3,33522
572237@1043,46@0,0264527@695,06@3,25679
628029@1075,42@0,0410478@723,7@3,13855
689261@1104,86@0,0135216@755,16@2,97847
756463@1145,4@0,01626@794,04@2,85661
830218@1177,5@0,0353677@812,98@2,82907
911163@1216,62@0,0299585@853,98@2,68652
1000000@1238,12@0,0128561@876,48@2,55721
