1000@270,78@3,16963@139,2@29,5924
1072@274,88@2,29724@141@29,0048
1150@272,06@0,760332@141,92@27,1467
1233@275,7@0,776009@142,44@26,8463
1322@279,3@0,681782@144,56@26,2128
1417@285@1,8923@146,7@26,0478
1520@287,04@0,518043@148,8@25,0778
1630@292,96@1,81404@149,3@25,2263
1748@295,4@0,589768@153,34@24,0335
1874@298,92@1,55024@152,8@23,918
2009@303,62@1,30698@155,04@23,4763
2154@305,48@1,00428@156,48@22,7234
2310@309,52@0,443559@158,16@22,2729
2477@310,76@0,286361@160,48@21,3532
2656@315,12@0,415839@162,48@20,9471
2848@317,4@0,277934@164,82@20,2187
3054@321,86@0,302803@167,02@19,8146
3275@327,78@1,43677@170@19,5482
3511@328,4@0,308431@172,3@18,6308
3765@332,02@0,294699@175,76@18,0098
4037@331,58@0,366473@184,56@16,3659
4329@335,7@0,534445@186,16@16,0801
4642@338,44@0,313532@189,08@15,5044
4977@341,64@0,234429@191,58@15,0425
5337@350,28@0,352214@195,36@14,999
5722@351,66@0,318162@196,74@14,4852
6136@355,14@0,282595@199,74@14,0308
6579@366,66@0,19773@201,44@14,4048
7055@371,6@0,174164@205,1@14,0179
7565@376,38@0,188843@207,4@13,7391
8111@380,96@0,171269@210,52@13,383
8697@385,1@0,440622@214,62@12,9338
9326@378,28@0,19208@216,66@11,8356
10000@381,42@0,0980714@220,02@11,4131
10723@386,26@0,0883074@224,24@11,0639
11498@388,46@0,126646@228,82@10,528
12328@393,5@0,165214@232,44@10,2585
13219@402,92@0,0786065@235,78@10,2797
14175@408,86@0,282096@240,04@10,0304
15199@412,56@0,108922@244,54@9,63754
16298@420,86@0,0893178@252,38@9,33224
17475@421,06@0,101158@248,52@9,2298
18738@425,42@0,0752766@252,46@8,93479
20092@430,2@0,09306@260,22@8,48003
21544@433,78@0,112482@260,48@8,34949
23101@437,48@0,0739938@264,42@8,05165
24771@437,08@0,0646957@270,04@7,50499
26561@441,78@0,0627483@273,98@7,28066
28480@451,88@0,153526@276,5@7,35004
30539@457,62@0,0511116@281,5@7,12652
32745@468,08@0,0833854@286,7@7,08813
35112@462,18@0,144128@287,92@6,57748
37649@472,96@0,114539@295,02@6,48559
40370@474,02@0,121401@292,28@6,39712
43288@473,02@0,067457@299,28@5,90513
46416@479,68@0,0683559@299,06@5,92851
49770@489,7@0,103631@304,34@5,87604
53367@491,78@0,0398105@307,64@5,63647
57224@488,6@0,154729@310,24@5,27449
61359@502,74@0,0336843@313,24@5,40958
65793@506,16@0,109489@316,52@5,22902
70548@505,44@0,0306605@320,54@4,92253
75646@515,6@0,125424@320,9@5,00719
81113@522,28@0,184599@332,82@4,70751
86975@534,08@0,252101@331,9@4,85414
93260@530,88@0,0448124@338,4@4,45702
100000@540,48@0,15876@337@4,55272
107227@557,88@0,0445988@350,02@4,48875
114976@561,34@0,150355@353,5@4,33682
123285@568,38@0,0634146@361,86@4,15951
132194@577,46@0,10675@368,34@4,06841
141747@596,56@0,153832@366,3@4,32734
151991@607,82@0,214994@380,1@4,13585
162975@607,6@0,110501@382,32@3,94746
174753@632,74@0,182895@394,24@4,03838
187382@652,62@0,150669@403,06@4,07936
200923@673,06@0,230368@417,84@4,03269
215443@688,5@0,112083@421,82@4,06419
231013@719,8@0,356014@432,7@4,23874
247708@756,56@0,07416@456,84@4,25889
265609@765,66@0,166431@458,84@4,21295
284804@790,98@0,088427@482,1@4,09358
305386@811,26@0,0621508@492,74@4,07613
327455@842,06@0,126992@503,6@4,18424
351119@867,04@0,0613586@527,24@4,05537
376494@890,82@0,0529952@550,2@3,92569
403702@906,94@0,0635583@580,68@3,63149
432876@940,28@0,0577982@596,24@3,69799
464159@963,34@0,0585138@618,88@3,5756
497702@979,96@0,0509092@650,5@3,30259
533670@1014,1@0,0540055@669,82@3,33286
572237@1036,76@0,0578207@682,88@3,30841
613591@1064,4@0,042952@706,44@3,23161
657933@1094,3@0,0483568@741,98@3,07175
705480@1116,46@0,040452@764,96@2,95943
756463@1150,62@0,0173526@787,46@2,95255
811131@1165,68@0,0328795@813,1@2,76839
869749@1190,62@0,0438684@838,86@2,66743
932603@1208,3@0,0464998@861,16@2,54222
1000000@1238,74@0,0329184@875,62@2,56786
